newindex,BaseDateTime,COG,CallSign,Cargo,Draft,Heading,IMO,LAT,LON,Length,MMSI,SOG,Status,VesselName,VesselType,Width,coordinate,datetime,envelope
209,2017-05-28T15:13:19,-50.4,V7NY6,37.0,,147.0,,25.776889999999998,-80.1094,39.62,538070454.0,0.1,under way using engine,J W,1019.0,6.8,POINT (-80.10939999999999 25.77689),2017-05-28 15:13:19,"POLYGON ((-80.12939999999999 25.75689, -80.0894 25.75689, -80.0894 25.79689, -80.12939999999999 25.79689, -80.12939999999999 25.75689))"
210,2017-05-28T15:13:37,-148.3,V2GC6,70.0,7.8,179.0,IMO9210270,26.13561,-80.07458000000003,107.75,305888000.0,0.0,at anchor,NORDKAP,1004.0,18.2,POINT (-80.07458000000003 26.13561),2017-05-28 15:13:37,"POLYGON ((-80.09458000000002 26.11561, -80.05458000000003 26.11561, -80.05458000000003 26.15561, -80.09458000000002 26.15561, -80.09458000000002 26.11561))"
211,2017-05-28T15:14:45,0.0,WDJ2111,,,16.0,,26.106170000000002,-80.08667,,367755350.0,12.5,under way using engine,OFF THE CHARTS,1019.0,,POINT (-80.08667 26.10617),2017-05-28 15:14:45,"POLYGON ((-80.10666999999999 26.08617, -80.06667 26.08617, -80.06667 26.12617, -80.10666999999999 26.12617, -80.10666999999999 26.08617))"
212,2017-05-28T15:13:31,186.8,WDF8098,37.0,,180.0,,26.18519,-80.06576,33.95,367491360.0,17.6,under way using engine,LUCKY SEVEN,1019.0,,POINT (-80.06576 26.18519),2017-05-28 15:13:31,"POLYGON ((-80.08575999999999 26.16519, -80.04576 26.16519, -80.04576 26.20519, -80.08575999999999 26.20519, -80.08575999999999 26.16519))"
213,2017-05-28T15:13:23,3.3,WDG9215,,,511.0,,25.720470000000002,-80.12575,18.59,367585530.0,8.3,,CARIBBEAN EXPLORER,1019.0,,POINT (-80.12575 25.72047),2017-05-28 15:13:23,"POLYGON ((-80.14574999999999 25.70047, -80.10575 25.70047, -80.10575 25.74047, -80.14574999999999 25.74047, -80.14574999999999 25.70047))"
214,2017-05-28T15:13:02,2.6,,,,511.0,,25.9064,-80.06064,16.67,338156016.0,34.5,,FUELISH PLEASURE,1019.0,,POINT (-80.06064000000001 25.9064),2017-05-28 15:13:02,"POLYGON ((-80.08064 25.8864, -80.04064000000001 25.8864, -80.04064000000001 25.9264, -80.08064 25.9264, -80.08064 25.8864))"
215,2017-05-28T15:13:57,-52.6,,,,511.0,,25.85132,-80.10378,,338228989.0,25.0,,RAMAYA 3,1019.0,,POINT (-80.10378 25.85132),2017-05-28 15:13:57,"POLYGON ((-80.12378 25.83132, -80.08378 25.83132, -80.08378 25.87132, -80.12378 25.87132, -80.12378 25.83132))"
216,2017-05-28T15:13:27,187.5,WDC2759,,4.4,185.0,IMO7523659,26.05586,-80.04413000000002,42.37,366997360.0,5.4,under way using engine,NORWEGIAN SEA,1025.0,10.37,POINT (-80.04413000000002 26.05586),2017-05-28 15:13:27,"POLYGON ((-80.06413000000002 26.03586, -80.02413000000003 26.03586, -80.02413000000003 26.07586, -80.06413000000002 26.07586, -80.06413000000002 26.03586))"
217,2017-05-28T15:14:17,181.1,9V2502,71.0,9.6,182.0,IMO9222120,26.240840000000002,-79.96406,209.0,564056000.0,13.7,under way using engine,SPIRIT OF TOKYO,71.0,30.0,POINT (-79.96406 26.24084),2017-05-28 15:14:17,"POLYGON ((-79.98406 26.22084, -79.94406000000001 26.22084, -79.94406000000001 26.26084, -79.98406 26.26084, -79.98406 26.22084))"
218,2017-05-28T15:14:29,61.7,V7NY6,37.0,,156.0,,25.7769,-80.10935,39.62,538070454.0,0.2,under way using engine,J W,1019.0,6.8,POINT (-80.10935000000001 25.7769),2017-05-28 15:14:29,"POLYGON ((-80.12935 25.7569, -80.08935000000001 25.7569, -80.08935000000001 25.7969, -80.12935 25.7969, -80.12935 25.7569))"
219,2017-05-28T15:14:52,9.5,WDG9215,,,511.0,,25.72387,-80.12531,18.59,367585530.0,8.5,,CARIBBEAN EXPLORER,1019.0,,POINT (-80.12531 25.72387),2017-05-28 15:14:52,"POLYGON ((-80.14530999999999 25.70387, -80.10531 25.70387, -80.10531 25.74387, -80.14530999999999 25.74387, -80.14530999999999 25.70387))"
220,2017-05-28T15:13:58,183.8,V7FQ5,,,180.0,,25.98199,-80.0717,40.81,538070052.0,11.4,power-driven vessel towing astern,MURPHY'S LAW,1019.0,,POINT (-80.07170000000001 25.98199),2017-05-28 15:13:58,"POLYGON ((-80.0917 25.96199, -80.05170000000001 25.96199, -80.05170000000001 26.00199, -80.0917 26.00199, -80.0917 25.96199))"
221,2017-05-28T15:13:04,183.0,WDB4128,,,511.0,,25.96486,-80.10279,14.87,366895060.0,7.3,,TOUCAN,1019.0,4.6,POINT (-80.10279 25.96486),2017-05-28 15:13:04,"POLYGON ((-80.12278999999999 25.94486, -80.08279 25.94486, -80.08279 25.98486, -80.12278999999999 25.98486, -80.12278999999999 25.94486))"
222,2017-05-28T15:13:48,3.0,WDE8873,,,511.0,,25.83635,-80.10786,12.19,367410670.0,7.1,,GRATEFUL RED,1019.0,4.0,POINT (-80.10786 25.83635),2017-05-28 15:13:48,"POLYGON ((-80.12786 25.81635, -80.08786000000001 25.81635, -80.08786000000001 25.85635, -80.12786 25.85635, -80.12786 25.81635))"
223,2017-05-28T15:14:00,185.1,WCY7054,80.0,12.2,180.0,IMO9131371,26.14145,-79.94,183.0,366826000.0,1.3,under way using engine,SEABULK ARCTIC,1024.0,32.2,POINT (-79.94 26.14145),2017-05-28 15:14:00,"POLYGON ((-79.95999999999999 26.12145, -79.92 26.12145, -79.92 26.16145, -79.95999999999999 26.16145, -79.95999999999999 26.12145))"
224,2017-05-28T15:14:38,184.1,WDF8098,37.0,,178.0,,26.17975,-80.06636999999998,33.95,367491360.0,17.7,under way using engine,LUCKY SEVEN,1019.0,,POINT (-80.06636999999998 26.17975),2017-05-28 15:14:38,"POLYGON ((-80.08636999999997 26.15975, -80.04636999999998 26.15975, -80.04636999999998 26.19975, -80.08636999999997 26.19975, -80.08636999999997 26.15975))"
225,2017-05-28T15:14:38,187.4,WDC2759,,4.4,185.0,IMO7523659,26.05409,-80.04438,42.37,366997360.0,5.4,under way using engine,NORWEGIAN SEA,1025.0,10.37,POINT (-80.04438 26.05409),2017-05-28 15:14:38,"POLYGON ((-80.06438 26.03409, -80.02438000000001 26.03409, -80.02438000000001 26.07409, -80.06438 26.07409, -80.06438 26.03409))"
226,2017-05-29T21:38:12,97.5,3FFL8,,8.3,114.0,IMO9172648,25.77358,-80.05577,272.2,355263000.0,12.1,under way using engine,CARNIVAL VICTORY,1012.0,35.54,POINT (-80.05577 25.77358),2017-05-29 21:38:12,"POLYGON ((-80.07576999999999 25.75358, -80.03577 25.75358, -80.03577 25.79358, -80.07576999999999 25.79358, -80.07576999999999 25.75358))"
227,2017-05-29T21:37:02,95.4,3FFL8,,8.3,112.0,IMO9172648,25.77415,-80.0599,272.2,355263000.0,11.8,under way using engine,CARNIVAL VICTORY,1012.0,35.54,POINT (-80.0599 25.77415),2017-05-29 21:37:02,"POLYGON ((-80.07989999999999 25.75415, -80.0399 25.75415, -80.0399 25.79415, -80.07989999999999 25.79415, -80.07989999999999 25.75415))"
228,2017-05-29T21:38:15,-141.5,LZH3282,,,511.0,,25.77486,-79.99577,,207832820.0,25.1,,TWINS,,,POINT (-79.99576999999999 25.77486),2017-05-29 21:38:15,"POLYGON ((-80.01576999999999 25.75486, -79.97577 25.75486, -79.97577 25.79486, -80.01576999999999 25.79486, -80.01576999999999 25.75486))"
229,2017-05-29T21:38:31,-103.6,5IM730,70.0,4.8,292.0,IMO7626748,25.77303,-80.0739,79.0,677093000.0,11.8,under way using engine,DORIS T,1004.0,12.43,POINT (-80.07389999999999 25.77303),2017-05-29 21:38:31,"POLYGON ((-80.09389999999999 25.75303, -80.0539 25.75303, -80.0539 25.79303, -80.09389999999999 25.79303, -80.09389999999999 25.75303))"
230,2017-05-29T21:37:20,-99.6,5IM730,70.0,4.8,296.0,IMO7626748,25.77065,-80.0706,79.0,677093000.0,11.9,under way using engine,DORIS T,1004.0,12.43,POINT (-80.0706 25.77065),2017-05-29 21:37:20,"POLYGON ((-80.09059999999999 25.75065, -80.0506 25.75065, -80.0506 25.79065, -80.09059999999999 25.79065, -80.09059999999999 25.75065))"
231,2017-06-01T20:24:18,189.7,VRGA2,71.0,12.0,188.0,IMO9484558,26.46776,-79.95785,264.32,477639500.0,11.0,under way using engine,BEA SCHULTE,1004.0,32.2,POINT (-79.95784999999999 26.46776),2017-06-01 20:24:18,"POLYGON ((-79.97784999999999 26.44776, -79.93785 26.44776, -79.93785 26.48776, -79.97784999999999 26.48776, -79.97784999999999 26.44776))"
232,2017-06-01T20:23:48,174.3,V2PW6,70.0,6.0,175.0,IMO9116204,25.74357,-80.03264,99.95,305289000.0,11.9,under way using engine,CARIBE NAVIGATOR,1004.0,16.74,POINT (-80.03264 25.74357),2017-06-01 20:23:48,"POLYGON ((-80.05264 25.72357, -80.01264 25.72357, -80.01264 25.76357, -80.05264 25.76357, -80.05264 25.72357))"
233,2017-06-01T20:24:30,-153.3,WDH5628,,,511.0,,25.78412,-80.02263,,367629790.0,26.6,,T/T CINQUE MARE,,,POINT (-80.02263000000001 25.78412),2017-06-01 20:24:30,"POLYGON ((-80.04263 25.76412, -80.00263000000001 25.76412, -80.00263000000001 25.80412, -80.04263 25.80412, -80.04263 25.76412))"
234,2017-06-01T20:23:01,-152.6,WDH5628,,,511.0,,25.7861,-80.01054,,367629790.0,26.2,,T/T CINQUE MARE,,,POINT (-80.01054000000001 25.7861),2017-06-01 20:23:01,"POLYGON ((-80.03054 25.7661, -79.99054000000001 25.7661, -79.99054000000001 25.8061, -80.03054 25.8061, -80.03054 25.7661))"
235,2017-06-01T20:24:06,-113.7,D5MK8,71.0,14.5,166.0,IMO9330068,25.79064,-80.08632,332.58,636017722.0,0.1,under way using engine,MAERSK SURABAYA,1004.0,43.2,POINT (-80.08632 25.79064),2017-06-01 20:24:06,"POLYGON ((-80.10632 25.77064, -80.06632 25.77064, -80.06632 25.81064, -80.10632 25.81064, -80.10632 25.77064))"
236,2017-06-13T15:37:49,73.2,WDG9346,,5.1,152.0,IMO9117258,25.7916,-80.09222,37.79,338708000.0,0.1,power-driven vessel pushing ahead or towing alongside,GENESIS PATRIOT,1025.0,11.88,POINT (-80.09222 25.7916),2017-06-13 15:37:49,"POLYGON ((-80.11221999999999 25.7716, -80.07222 25.7716, -80.07222 25.8116, -80.11221999999999 25.8116, -80.11221999999999 25.7716))"
237,2017-06-13T15:38:05,-146.9,WBO8586,54.0,4.4,245.0,IMO9043847,25.79755,-80.04198000000002,63.55,366603000.0,10.3,moored,FLORIDA RESPONDER,1011.0,13.41,POINT (-80.04198000000002 25.79755),2017-06-13 15:38:05,"POLYGON ((-80.06198000000002 25.77755, -80.02198000000003 25.77755, -80.02198000000003 25.81755, -80.06198000000002 25.81755, -80.06198000000002 25.77755))"
238,2017-06-13T15:38:12,147.3,J8AJ8,70.0,4.6,250.0,IMO7358705,25.77785,-80.09473,76.61,375943000.0,0.4,under way using engine,KRISTINA,1004.0,12.3,POINT (-80.09473 25.77785),2017-06-13 15:38:12,"POLYGON ((-80.11472999999999 25.75785, -80.07473 25.75785, -80.07473 25.79785, -80.11472999999999 25.79785, -80.11472999999999 25.75785))"
239,2017-06-13T15:38:59,70.6,WDG9346,,5.1,152.0,IMO9117258,25.7916,-80.09221,37.79,338708000.0,0.1,power-driven vessel pushing ahead or towing alongside,GENESIS PATRIOT,1025.0,11.88,POINT (-80.09220999999999 25.7916),2017-06-13 15:38:59,"POLYGON ((-80.11220999999999 25.7716, -80.07221 25.7716, -80.07221 25.8116, -80.11220999999999 25.8116, -80.11220999999999 25.7716))"
240,2017-06-13T15:37:03,102.7,J8AJ8,70.0,4.6,248.0,IMO7358705,25.77787,-80.09474,76.61,375943000.0,0.2,under way using engine,KRISTINA,1004.0,12.3,POINT (-80.09474 25.77787),2017-06-13 15:37:03,"POLYGON ((-80.11474 25.75787, -80.07474000000001 25.75787, -80.07474000000001 25.79787, -80.11474 25.79787, -80.11474 25.75787))"
241,2017-06-15T15:08:59,41.0,,,,50.0,,26.26108,-79.942,,338066035.0,18.2,,,,,POINT (-79.94199999999999 26.26108),2017-06-15 15:08:59,"POLYGON ((-79.96199999999999 26.24108, -79.922 26.24108, -79.922 26.28108, -79.96199999999999 26.28108, -79.96199999999999 26.24108))"
242,2017-06-15T15:08:12,-190.2,V2PM2,70.0,4.9,177.0,IMO9110547,26.13861,-80.07318000000002,99.27,304010618.0,0.1,at anchor,CARIBE MARINER,1004.0,16.2,POINT (-80.07318000000002 26.13861),2017-06-15 15:08:12,"POLYGON ((-80.09318000000002 26.11861, -80.05318000000003 26.11861, -80.05318000000003 26.15861, -80.09318000000002 26.15861, -80.09318000000002 26.11861))"
243,2017-06-15T15:08:07,23.1,ZJL9393,,,511.0,,25.94904,-80.00841,,378112405.0,16.9,,TAUREAN,1019.0,,POINT (-80.00841 25.94904),2017-06-15 15:08:07,"POLYGON ((-80.02840999999999 25.92904, -79.98841 25.92904, -79.98841 25.96904, -80.02840999999999 25.96904, -80.02840999999999 25.92904))"
244,2017-06-15T15:08:39,114.6,PBMC,70.0,5.0,170.0,IMO9375111,26.11316,-80.07591,99.97,244985000.0,0.1,at anchor,VANTAGE,1004.0,15.85,POINT (-80.07590999999999 26.11316),2017-06-15 15:08:39,"POLYGON ((-80.09590999999999 26.09316, -80.05591 26.09316, -80.05591 26.13316, -80.09590999999999 26.13316, -80.09590999999999 26.09316))"
245,2017-06-15T15:09:37,14.7,ZJL9393,,,511.0,,25.95569,-80.00599,,378112405.0,16.7,,TAUREAN,1019.0,,POINT (-80.00599 25.95569),2017-06-15 15:09:37,"POLYGON ((-80.02598999999999 25.93569, -79.98599 25.93569, -79.98599 25.97569, -80.02598999999999 25.97569, -80.02598999999999 25.93569))"
246,2017-06-17T15:15:29,-156.8,ZCBR2,37.0,2.8,163.0,IMO1002342,26.22403,-80.06691,43.6,310245000.0,0.2,under way using engine,PREDICTION,1019.0,8.8,POINT (-80.06690999999999 26.22403),2017-06-17 15:15:29,"POLYGON ((-80.08690999999999 26.20403, -80.04691 26.20403, -80.04691 26.24403, -80.08690999999999 26.24403, -80.08690999999999 26.20403))"
247,2017-06-17T15:16:39,72.8,ZCBR2,37.0,2.8,151.0,IMO1002342,26.22403,-80.06689,43.6,310245000.0,0.2,under way using engine,PREDICTION,1019.0,8.8,POINT (-80.06689 26.22403),2017-06-17 15:16:39,"POLYGON ((-80.08689 26.20403, -80.04689 26.20403, -80.04689 26.24403, -80.08689 26.24403, -80.08689 26.20403))"
248,2017-06-17T15:15:39,-96.3,,,,511.0,,25.75625,-80.00206999999997,,338088958.0,7.0,,PAZ,1019.0,,POINT (-80.00206999999997 25.75625),2017-06-17 15:15:39,"POLYGON ((-80.02206999999997 25.73625, -79.98206999999998 25.73625, -79.98206999999998 25.77625, -80.02206999999997 25.77625, -80.02206999999997 25.73625))"
249,2017-06-19T13:10:45,-144.1,J8B5341,79.0,5.9,217.0,IMO9142447,26.00605,-79.95984,98.68,376609000.0,6.4,under way using engine,ALLEGRO,1004.0,16.9,POINT (-79.95984 26.00605),2017-06-19 13:10:45,"POLYGON ((-79.97984 25.98605, -79.93984 25.98605, -79.93984 26.02605, -79.97984 26.02605, -79.97984 25.98605))"
250,2017-06-19T13:11:47,-153.2,J8B5341,79.0,5.9,182.0,IMO9142447,26.00585,-79.9611,98.68,376609000.0,2.8,under way using engine,ALLEGRO,1004.0,16.9,POINT (-79.9611 26.00585),2017-06-19 13:11:47,"POLYGON ((-79.9811 25.98585, -79.94110000000001 25.98585, -79.94110000000001 26.02585, -79.9811 26.02585, -79.9811 25.98585))"
251,2017-06-21T15:09:26,200.2,WBO8586,54.0,4.4,198.0,IMO9043847,25.78859,-80.07481999999997,63.55,366603000.0,9.3,moored,FLORIDA RESPONDER,1011.0,13.41,POINT (-80.07481999999997 25.78859),2017-06-21 15:09:26,"POLYGON ((-80.09481999999997 25.76859, -80.05481999999998 25.76859, -80.05481999999998 25.80859, -80.09481999999997 25.80859, -80.09481999999997 25.76859))"
252,2017-06-21T15:10:35,200.6,WBO8586,54.0,4.4,198.0,IMO9043847,25.78576,-80.07596,63.55,366603000.0,9.4,moored,FLORIDA RESPONDER,1011.0,13.41,POINT (-80.07595999999999 25.78576),2017-06-21 15:10:35,"POLYGON ((-80.09595999999999 25.76576, -80.05596 25.76576, -80.05596 25.80576, -80.09595999999999 25.80576, -80.09595999999999 25.76576))"
253,2017-06-21T15:09:56,-125.1,WDE2651,37.0,,274.0,,26.05884,-79.91115,25.18,367327850.0,10.0,under way using engine,DIAMOND GIRL,1019.0,7.2,POINT (-79.91115000000001 26.05884),2017-06-21 15:09:56,"POLYGON ((-79.93115 26.03884, -79.89115000000001 26.03884, -79.89115000000001 26.07884, -79.93115 26.07884, -79.93115 26.03884))"
254,2017-06-21T15:10:08,93.5,J8B5341,79.0,5.9,157.0,IMO9142447,26.1169,-80.0781,98.68,376609000.0,0.2,under way using engine,ALLEGRO,1004.0,16.9,POINT (-80.07810000000001 26.1169),2017-06-21 15:10:08,"POLYGON ((-80.0981 26.0969, -80.05810000000001 26.0969, -80.05810000000001 26.1369, -80.0981 26.1369, -80.0981 26.0969))"
255,2017-06-21T15:09:34,0.1,V2GT5,70.0,9.5,157.0,IMO9395068,26.13438,-80.06817,166.15,304083000.0,0.0,at anchor,AS FEDERICA,1004.0,25.0,POINT (-80.06816999999999 26.13438),2017-06-21 15:09:34,"POLYGON ((-80.08816999999999 26.11438, -80.04817 26.11438, -80.04817 26.15438, -80.08816999999999 26.15438, -80.08816999999999 26.11438))"
256,2017-06-21T15:09:51,-167.4,V2GX7,,8.8,230.0,IMO9449687,26.11258,-79.91237,139.17,305007000.0,9.9,under way using engine,JSP AMIHAN,1004.0,22.6,POINT (-79.91237 26.11258),2017-06-21 15:09:51,"POLYGON ((-79.93236999999999 26.09258, -79.89237 26.09258, -79.89237 26.13258, -79.93236999999999 26.13258, -79.93236999999999 26.09258))"
257,2017-06-21T15:10:25,123.0,V7NX9,37.0,,133.0,,26.05927,-79.97532,26.4,538080057.0,7.0,under way using engine,VIVIERAE,1019.0,7.3,POINT (-79.97532 26.05927),2017-06-21 15:10:25,"POLYGON ((-79.99531999999999 26.03927, -79.95532 26.03927, -79.95532 26.07927, -79.99531999999999 26.07927, -79.99531999999999 26.03927))"
258,2017-06-21T15:09:46,2.1,WDF6123,,,511.0,,25.97638,-80.05476,8.23,367470890.0,11.8,,AAI CHASE,,,POINT (-80.05476 25.97638),2017-06-21 15:09:46,"POLYGON ((-80.07476 25.95638, -80.03476000000001 25.95638, -80.03476000000001 25.99638, -80.07476 25.99638, -80.07476 25.95638))"
259,2017-06-21T15:09:15,123.2,V7NX9,37.0,,134.0,,26.06053,-79.97742,26.4,538080057.0,6.9,under way using engine,VIVIERAE,1019.0,7.3,POINT (-79.97742 26.06053),2017-06-21 15:09:15,"POLYGON ((-79.99741999999999 26.04053, -79.95742 26.04053, -79.95742 26.08053, -79.99741999999999 26.08053, -79.99741999999999 26.04053))"
260,2017-06-21T12:46:52,-118.2,ZCOR3,37.0,2.3,268.0,IMO9334478,26.73259,-79.92291999999998,47.9,319619000.0,12.1,under way using engine,TOP FIVE,1019.0,9.0,POINT (-79.92291999999998 26.73259),2017-06-21 12:46:52,"POLYGON ((-79.94291999999997 26.71259, -79.90291999999998 26.71259, -79.90291999999998 26.75259, -79.94291999999997 26.75259, -79.94291999999997 26.71259))"
261,2017-06-23T15:09:50,181.7,ZDHF5,70.0,3.2,177.0,IMO9118018,25.69197,-80.01005,90.0,236311000.0,7.3,under way using engine,ORION,70.0,14.0,POINT (-80.01005000000001 25.69197),2017-06-23 15:09:50,"POLYGON ((-80.03005 25.67197, -79.99005000000001 25.67197, -79.99005000000001 25.71197, -80.03005 25.71197, -80.03005 25.67197))"
262,2017-06-23T15:09:57,-82.9,9HA4491,70.0,12.5,172.0,IMO9293674,26.11627,-80.06704,190.01,248048000.0,0.1,at anchor,OSIRIS,1004.0,32.31,POINT (-80.06704000000001 26.11627),2017-06-23 15:09:57,"POLYGON ((-80.08704 26.09627, -80.04704000000001 26.09627, -80.04704000000001 26.13627, -80.08704 26.13627, -80.08704 26.09627))"
263,2017-06-23T15:10:46,-59.3,,,,511.0,,26.02877,-80.07517,,338206049.0,6.6,,,,,POINT (-80.07517 26.02877),2017-06-23 15:10:46,"POLYGON ((-80.09517 26.00877, -80.05517 26.00877, -80.05517 26.04877, -80.09517 26.04877, -80.09517 26.00877))"
264,2017-06-23T15:09:51,114.7,9HA4205,,,163.0,IMO9709788,26.12761,-80.06981,183.17,249347000.0,0.0,at anchor,HAFNIA DAISY,1024.0,,POINT (-80.06981 26.12761),2017-06-23 15:09:51,"POLYGON ((-80.08981 26.10761, -80.04981000000001 26.10761, -80.04981000000001 26.14761, -80.08981 26.14761, -80.08981 26.10761))"
265,2017-06-23T15:09:59,189.0,V2FM3,,9.5,186.0,IMO9517434,26.08401,-79.97695999999998,161.33,305720000.0,10.2,under way using engine,ARIAN,1004.0,25.0,POINT (-79.97695999999998 26.08401),2017-06-23 15:09:59,"POLYGON ((-79.99695999999997 26.06401, -79.95695999999998 26.06401, -79.95695999999998 26.10401, -79.99695999999997 26.10401, -79.99695999999997 26.06401))"
266,2017-06-23T15:10:48,0.0,OUVD2,70.0,3.5,146.0,IMO8701260,25.78093,-80.09235,66.81,219208000.0,0.0,under way using engine,DANICA SUNBEAM,1004.0,10.22,POINT (-80.09235 25.78093),2017-06-23 15:10:48,"POLYGON ((-80.11234999999999 25.76093, -80.07235 25.76093, -80.07235 25.80093, -80.11234999999999 25.80093, -80.11234999999999 25.76093))"
267,2017-06-23T15:10:59,179.7,ZDHF5,70.0,3.2,179.0,IMO9118018,25.68958,-80.00990999999998,90.0,236311000.0,7.3,under way using engine,ORION,70.0,14.0,POINT (-80.00990999999998 25.68958),2017-06-23 15:10:59,"POLYGON ((-80.02990999999997 25.66958, -79.98990999999998 25.66958, -79.98990999999998 25.70958, -80.02990999999997 25.70958, -80.02990999999997 25.66958))"
268,2017-06-23T15:09:28,2.0,WDF6123,,,511.0,,26.0552,-80.0357,8.23,367470890.0,15.5,,AAI CHASE,,,POINT (-80.03570000000001 26.0552),2017-06-23 15:09:28,"POLYGON ((-80.0557 26.0352, -80.01570000000001 26.0352, -80.01570000000001 26.0752, -80.0557 26.0752, -80.0557 26.0352))"
269,2017-06-23T15:09:47,0.0,OUVD2,70.0,3.5,145.0,IMO8701260,25.7809,-80.09232,66.81,219208000.0,0.0,under way using engine,DANICA SUNBEAM,1004.0,10.22,POINT (-80.09232 25.7809),2017-06-23 15:09:47,"POLYGON ((-80.11232 25.7609, -80.07232 25.7609, -80.07232 25.8009, -80.11232 25.8009, -80.11232 25.7609))"
270,2017-06-24T15:09:04,173.1,WDB5090,,,511.0,,26.7593,-80.01249,8.84,366905760.0,11.0,,SIRENA,1012.0,3.7,POINT (-80.01249 26.7593),2017-06-24 15:09:04,"POLYGON ((-80.03249 26.7393, -79.99249 26.7393, -79.99249 26.7793, -80.03249 26.7793, -80.03249 26.7393))"
271,2017-06-24T15:10:01,86.9,WDJ4244,,,511.0,,25.75869,-80.07696999999997,,367775820.0,12.0,,BELLADONNA,1019.0,,POINT (-80.07696999999997 25.75869),2017-06-24 15:10:01,"POLYGON ((-80.09696999999997 25.73869, -80.05696999999998 25.73869, -80.05696999999998 25.77869, -80.09696999999997 25.77869, -80.09696999999997 25.73869))"
272,2017-06-25T19:36:01,194.7,NUGW,,,511.0,,26.42749,-79.94351999999998,26.52,366999639.0,8.3,under way using engine,CG GANNET,1018.0,5.79,POINT (-79.94351999999998 26.42749),2017-06-25 19:36:01,"POLYGON ((-79.96351999999997 26.40749, -79.92351999999998 26.40749, -79.92351999999998 26.44749, -79.96351999999997 26.44749, -79.96351999999997 26.40749))"
273,2017-06-25T19:35:46,49.2,WDJ5744,,,67.0,,26.288490000000003,-79.91727,,367790850.0,11.1,,SANDANA,,,POINT (-79.91727 26.28849),2017-06-25 19:35:46,"POLYGON ((-79.93727 26.26849, -79.89727000000001 26.26849, -79.89727000000001 26.30849, -79.93727 26.30849, -79.93727 26.26849))"
274,2017-06-26T15:16:45,-62.5,ZCGL,37.0,2.0,61.0,IMO8979855,26.1901,-80.05722,43.01,319668000.0,1.7,under way using engine,RELENTLESS,1019.0,8.2,POINT (-80.05722 26.1901),2017-06-26 15:16:45,"POLYGON ((-80.07722 26.1701, -80.03722 26.1701, -80.03722 26.2101, -80.07722 26.2101, -80.07722 26.1701))"
275,2017-06-26T15:16:55,184.9,WDD6715,32.0,5.7,180.0,IMO7906849,25.89018,-80.02414,41.61,367176630.0,7.9,under way using engine,OSG INDEPENDENCE,1025.0,11.31,POINT (-80.02414 25.89018),2017-06-26 15:16:55,"POLYGON ((-80.04414 25.87018, -80.00414000000001 25.87018, -80.00414000000001 25.91018, -80.04414 25.91018, -80.04414 25.87018))"
276,2017-06-26T15:15:42,-81.9,V2NA6,70.0,6.6,168.0,IMO9121869,26.1126,-80.07627,99.95,304304000.0,0.1,at anchor,KATHARINA B,1004.0,18.2,POINT (-80.07626999999999 26.1126),2017-06-26 15:15:42,"POLYGON ((-80.09626999999999 26.0926, -80.05627 26.0926, -80.05627 26.1326, -80.09626999999999 26.1326, -80.09626999999999 26.0926))"
277,2017-06-26T15:16:59,17.9,,,,511.0,,26.12789,-80.08722,,338206325.0,30.3,,CARAMBA,1019.0,,POINT (-80.08722 26.12789),2017-06-26 15:16:59,"POLYGON ((-80.10722 26.10789, -80.06722000000001 26.10789, -80.06722000000001 26.14789, -80.10722 26.14789, -80.10722 26.10789))"
278,2017-06-26T15:16:31,51.6,,,,511.0,,26.06458,-79.8948,22.92,338135567.0,21.2,,MISTRESS,1019.0,,POINT (-79.8948 26.06458),2017-06-26 15:16:31,"POLYGON ((-79.9148 26.04458, -79.87480000000001 26.04458, -79.87480000000001 26.08458, -79.9148 26.08458, -79.9148 26.04458))"
279,2017-06-26T15:15:10,-50.6,WCY8957,,,7.0,,26.01701,-80.0921,26.85,367390470.0,9.9,under way using engine,RICHARD L BECKER,1012.0,7.3,POINT (-80.0921 26.01701),2017-06-26 15:15:10,"POLYGON ((-80.1121 25.99701, -80.07210000000001 25.99701, -80.07210000000001 26.03701, -80.1121 26.03701, -80.1121 25.99701))"
280,2017-06-26T15:15:26,-118.6,WDH7024,,,511.0,,26.06631,-79.98676,23.96,367643980.0,11.5,,VIRGINIA LEE,1019.0,6.9,POINT (-79.98676 26.06631),2017-06-26 15:15:26,"POLYGON ((-80.00676 26.04631, -79.96676000000001 26.04631, -79.96676000000001 26.08631, -80.00676 26.08631, -80.00676 26.04631))"
281,2017-06-26T15:15:58,-143.5,3ERX4,,12.2,184.0,IMO9363675,26.12983,-80.07405,188.5,370191000.0,0.1,at anchor,RED JACKET,1004.0,32.26,POINT (-80.07405 26.12983),2017-06-26 15:15:58,"POLYGON ((-80.09405 26.10983, -80.05405 26.10983, -80.05405 26.14983, -80.09405 26.14983, -80.09405 26.10983))"
282,2017-06-26T15:16:52,79.8,6YSU5,,,101.0,,26.10049,-80.07693,,339517000.0,3.4,,GABIANDRE 7,,,POINT (-80.07693 26.10049),2017-06-26 15:16:52,"POLYGON ((-80.09693 26.08049, -80.05693000000001 26.08049, -80.05693000000001 26.12049, -80.09693 26.12049, -80.09693 26.08049))"
