newindex,BaseDateTime,COG,CallSign,Cargo,Draft,Heading,IMO,LAT,LON,Length,MMSI,SOG,Status,VesselName,VesselType,Width,coordinate,datetime,envelope
15,2017-01-31T15:11:49,97.6,H8PA,,14.5,105.0,IMO9279989,26.08362,-79.9621,303.92,352983000.0,18.8,moored,MSC STELLA,1004.0,40.0,POINT (-79.96210000000001 26.08362),2017-01-31 15:11:49,"POLYGON ((-79.9821 26.06362, -79.94210000000001 26.06362, -79.94210000000001 26.10362, -79.9821 26.10362, -79.9821 26.06362))"
16,2017-01-31T15:12:21,13.9,V7ZB7,,,511.0,,25.75374,-80.09563,,538070875.0,17.4,,CHILLS,,,POINT (-80.09563 25.75374),2017-01-31 15:12:21,"POLYGON ((-80.11563 25.73374, -80.07563 25.73374, -80.07563 25.77374, -80.11563 25.77374, -80.11563 25.73374))"
17,2017-01-31T15:12:25,-123.4,WDI6222,,,511.0,,26.08896,-80.0786,29.29,367716440.0,11.4,,FREEDOM,1019.0,,POINT (-80.07859999999999 26.08896),2017-01-31 15:12:25,"POLYGON ((-80.09859999999999 26.06896, -80.0586 26.06896, -80.0586 26.10896, -80.09859999999999 26.10896, -80.09859999999999 26.06896))"
18,2017-01-31T15:12:37,-161.4,3ESA9,70.0,0.0,250.0,IMO9012513,25.76053,-80.10444,100.0,355983000.0,10.2,under way using engine,TANGO III,70.0,15.0,POINT (-80.10444 25.76053),2017-01-31 15:12:37,"POLYGON ((-80.12443999999999 25.74053, -80.08444 25.74053, -80.08444 25.78053, -80.12443999999999 25.78053, -80.12443999999999 25.74053))"
19,2017-01-31T15:12:02,-104.2,6YSA9,,,511.0,,26.0115,-79.90575,21.4,339397000.0,18.3,,HOOK EM,1019.0,5.5,POINT (-79.90575 26.0115),2017-01-31 15:12:02,"POLYGON ((-79.92574999999999 25.9915, -79.88575 25.9915, -79.88575 26.0315, -79.92574999999999 26.0315, -79.92574999999999 25.9915))"
20,2017-01-31T21:22:00,0.1,,,,511.0,,26.1357,-80.07151,,636092617.0,0.0,at anchor,,,,POINT (-80.07151 26.1357),2017-01-31 21:22:00,"POLYGON ((-80.09151 26.1157, -80.05151000000001 26.1157, -80.05151000000001 26.1557, -80.09151 26.1557, -80.09151 26.1157))"
21,2017-01-31T15:11:14,183.6,WDG8519,,,511.0,IMO8941200,25.717979999999997,-80.0769,27.92,367578370.0,5.2,,BIG BULL,1001.0,7.62,POINT (-80.07689999999999 25.71798),2017-01-31 15:11:14,"POLYGON ((-80.09689999999999 25.69798, -80.0569 25.69798, -80.0569 25.73798, -80.09689999999999 25.73798, -80.09689999999999 25.69798))"
22,2017-01-31T15:11:01,-110.2,6YSA9,,,511.0,,26.00895,-79.90096,21.4,339397000.0,15.7,,HOOK EM,1019.0,5.5,POINT (-79.90096 26.00895),2017-01-31 15:11:01,"POLYGON ((-79.92095999999999 25.98895, -79.88096 25.98895, -79.88096 26.02895, -79.92095999999999 26.02895, -79.92095999999999 25.98895))"
23,2017-02-02T15:12:54,89.5,8PMM,,,103.0,,26.74061,-79.88219000000002,,314096000.0,12.0,undefined,JOHN PAUL DEJORIA,,,POINT (-79.88219000000002 26.74061),2017-02-02 15:12:54,"POLYGON ((-79.90219000000002 26.72061, -79.86219000000003 26.72061, -79.86219000000003 26.76061, -79.90219000000002 26.76061, -79.90219000000002 26.72061))"
24,2017-02-02T15:11:52,88.5,8PMM,,,103.0,,26.74056,-79.88605,,314096000.0,12.1,undefined,JOHN PAUL DEJORIA,,,POINT (-79.88605 26.74056),2017-02-02 15:11:52,"POLYGON ((-79.90604999999999 26.72056, -79.86605 26.72056, -79.86605 26.76056, -79.90604999999999 26.76056, -79.90604999999999 26.72056))"
25,2017-02-02T15:12:41,0.2,V7MP7,,,511.0,,25.98793,-80.09488,,538070374.0,13.1,,HUNTRESS,,,POINT (-80.09488 25.98793),2017-02-02 15:12:41,"POLYGON ((-80.11488 25.96793, -80.07488000000001 25.96793, -80.07488000000001 26.00793, -80.11488 26.00793, -80.11488 25.96793))"
26,2017-02-02T15:11:58,181.9,WDF3434,,,511.0,,26.04445,-80.0881,,367439840.0,9.7,,CECILIA MAE,1019.0,,POINT (-80.0881 26.04445),2017-02-02 15:11:58,"POLYGON ((-80.10809999999999 26.02445, -80.0681 26.02445, -80.0681 26.06445, -80.10809999999999 26.06445, -80.10809999999999 26.02445))"
